f_Hz	U_mV
3498.3	10
3498.2	14
3497.9	28
3497.8	40
3497.7	60
3497.6	84
3497.5	88
3497.4	90
3497.3	60
3497.2	28
3497.1	20
3497.0	14
3496.9	12
3496.5	10
