f_Hz	U_mV
6608.1	9
6608.5	10.5
6608.9	16
6609	18
6609.3	26
6609.5	36
6609.6	44
6609.7	56
6609.8	77
6609.9	99
6610	100
6610.1	100
6610.2	89.4
6610.3	76
6610.4	63
6610.5	54
6610.6	46
6610.7	38
6610.8	33
6610.9	28
6611	25
6612	10
6613	9
6614	7
6616	4
