f_Hz	U_mV
6455	10
6455.2	11
6456.5	20
6457.1	30
6457.4	38
6457.5	42
6457.6	46
6457.7	52
6457.8	60
6457.9	68
6458	80
6458.1	94
6458.2	100
6458.3	120
6458.4	150
6458.5	175
6458.6	180
6458.7	160
6458.8	130
6458.9	105
6459	100
6459.1	92
6459.2	78
6459.3	70
6459.4	62
6459.5	54
6459.6	50
6459.7	44
6459.8	40
6459.9	38
6460	34
6460.1	32
6460.2	30
6460.3	28
6460.8	20
6461.5	14
6462.9	9
